,Atual,2023,2022,2021,2020,2019,acao
DÍVIDA LÍQUIDA / EBITDA,"3,49","3,49","5,02","2,60","1,86","2,21",eqtl3
DÍVIDA LÍQUIDA / EBIT,"4,47","4,47","6,31","3,01","2,13","2,55",eqtl3
DÍVIDA BRUTA / PATRIMÔNIO,"2,20","2,20","2,48","1,99","1,70","2,07",eqtl3
PATRIMÔNIO / ATIVOS,"0,20","0,20","0,18","0,21","0,24","0,22",eqtl3
PASSIVOS / ATIVOS,"0,76","0,76","0,80","0,76","0,72","0,74",eqtl3
LIQUIDEZ CORRENTE,"1,54","1,54","0,98","1,67","1,68","1,86",eqtl3
CAGR RECEITAS 5 ANOS,"16,87%","29,59%","24,50%","25,37%","20,18%","22,65%",eqtl3
CAGR LUCROS 5 ANOS,"1,16%","19,40%","9,79%","37,57%","29,14%","28,32%",eqtl3
P/L,"-0,57","-0,94","-47,08","13,28","16,88","55,15",pcar3
P/RECEITA (PSR),"0,06","0,10","0,47","0,22","0,72","0,77",pcar3
P/VP,"0,26","0,42","0,70","0,65","2,19","3,23",pcar3
DIVIDEND YIELD (DY),-,"0,00%","2,15%","10,02%","0,78%","0,91%",pcar3
PAYOUT,-,"0,00%","-101,02%","133,05%","13,09%","50,18%",pcar3
MARGEM LÍQUIDA,"-11,01%","-11,01%","-0,99%","1,65%","4,25%","1,39%",pcar3
MARGEM BRUTA,"25,02%","25,02%","24,84%","25,40%","26,83%","21,51%",pcar3
MARGEM EBIT,"3,52%","3,52%","-3,26%","3,42%","5,13%","3,44%",pcar3
MARGEM EBITDA,"9,42%","9,42%","19,36%","7,65%","8,19%","6,81%",pcar3
EV/EBITDA,"1,51","1,94","3,04","5,29","10,95","12,92",pcar3
EV/EBIT,"4,04","5,19","-18,07","11,85","17,47","25,57",pcar3
P/EBITDA,"0,67","1,10","2,41","2,86","8,77","11,30",pcar3
P/EBIT,"1,79","2,94","-14,33","6,40","13,99","22,36",pcar3
P/ATIVO,"0,05","0,09","0,18","0,22","0,69","0,75",pcar3
P/CAP.GIRO,"0,93","1,53","0,75","8,06","-43,69","-29,98",pcar3
P/ATIVO CIRC LIQ,"-0,08","-0,14","-0,53","-0,34","-1,03","-1,14",pcar3
VPA,"9,62","9,62","23,55","33,38","34,25","27,53",pcar3
LPA,"-4,32","-4,32","-0,35","1,64","4,45","1,61",pcar3
GIRO ATIVOS,"0,87","0,87","0,40","0,98","0,96","0,98",pcar3
ROE,"-44,92%","-44,92%","-1,49%","4,90%","12,98%","5,85%",pcar3
ROIC,"2,59%","2,59%","-5,85%","4,28%","7,58%","6,12%",pcar3
ROA,"-9,68%","-9,68%","-0,01%","1,94%","4,36%","1,44%",pcar3
DÍVIDA LÍQUIDA / EBITDA,"0,84","0,84","0,63","2,43","2,18","1,62",pcar3
DÍVIDA LÍQUIDA / EBIT,"2,25","2,25","-3,74","5,44","3,48","3,20",pcar3
DÍVIDA BRUTA / PATRIMÔNIO,"1,12","1,12","0,51","0,55","0,55","1,05",pcar3
PATRIMÔNIO / ATIVOS,"0,21","0,21","0,26","0,33","0,32","0,23",pcar3
PASSIVOS / ATIVOS,"0,79","0,79","0,69","0,67","0,68","0,74",pcar3
LIQUIDEZ CORRENTE,"1,21","1,21","1,61","1,08","0,95","0,93",pcar3
CAGR RECEITAS 5 ANOS,"-19,41%","-17,17%","-17,25%","3,26%","-5,83%","-2,87%",pcar3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,"-12,00%",pcar3
P/L,"9,34","10,06","8,25","7,68","16,41","13,42",itub4
P/RECEITA (PSR),"0,99","1,06","0,86","1,05","1,78","1,88",itub4
P/VP,"1,63","1,75","1,46","1,31","2,10","2,55",itub4
DIVIDEND YIELD (DY),"7,49%","3,70%","4,07%","4,34%","4,12%","7,56%",itub4
PAYOUT,"76,73%","35,22%","26,29%","25,77%","66,27%","100,44%",itub4
MARGEM LÍQUIDA,"10,57%","10,57%","10,48%","13,68%","10,87%","14,05%",itub4
MARGEM BRUTA,"39,76%","39,76%","40,78%","64,58%","57,67%","60,65%",itub4
MARGEM EBIT,"12,67%","12,67%","13,25%","21,58%","3,01%","16,18%",itub4
MARGEM EBITDA,-,"0,00%","0,00%","0,00%","0,00%","0,00%",itub4
EV/EBITDA,-,-,-,-,-,-,itub4
EV/EBIT,"7,28","7,75","6,12","4,65","55,79","10,84",itub4
P/EBITDA,-,-,-,-,-,-,itub4
P/EBIT,"7,79","8,39","6,53","4,86","59,29","11,64",itub4
P/ATIVO,"0,12","0,13","0,11","0,10","0,15","0,22",itub4
P/CAP.GIRO,"-1,28","-1,38","6,93","4,61","6,71","11,98",itub4
P/ATIVO CIRC LIQ,"-0,13","-0,14","-0,11","-0,10","-0,16","-0,23",itub4
VPA,"19,40","19,40","17,13","16,03","15,06","14,57",itub4
LPA,"3,38","3,38","3,03","2,73","1,93","2,77",itub4
GIRO ATIVOS,"0,12","0,12","0,12","0,09","0,09","0,12",itub4
ROE,"17,41%","17,41%","17,68%","17,03%","12,80%","18,99%",itub4
ROIC,"17,81%","17,81%","18,30%","18,06%","-3,12%","19,48%",itub4
ROA,"1,33%","1,33%","1,32%","1,37%","0,75%","1,70%",itub4
PATRIMÔNIO / ATIVOS,"0,07","0,07","0,07","0,08","0,07","0,09",itub4
PASSIVOS / ATIVOS,"0,92","0,92","0,04","0,03","0,04","0,03",itub4
LIQUIDEZ CORRENTE,"0,40","0,40",-,-,-,-,itub4
CAGR RECEITAS 5 ANOS,"10,16%","18,99%","13,63%","2,26%","6,04%","8,39%",itub4
CAGR LUCROS 5 ANOS,"4,02%","5,73%","5,76%","5,21%","-10,45%","4,93%",itub4
P/L,"12,98","14,92","15,82","19,17","21,67","24,97",abev3
P/RECEITA (PSR),"2,36","2,71","2,87","3,33","4,22","5,59",abev3
P/VP,"2,38","2,74","2,79","2,94","3,34","4,80",abev3
DIVIDEND YIELD (DY),"6,11%","5,32%","5,25%","4,41%","2,64%","2,63%",abev3
PAYOUT,"79,32%","79,32%","83,06%","84,58%","57,27%","65,61%",abev3
MARGEM LÍQUIDA,"18,19%","18,19%","18,14%","17,39%","19,49%","22,40%",abev3
MARGEM BRUTA,"50,72%","50,72%","49,29%","51,05%","53,64%","58,79%",abev3
MARGEM EBIT,"23,38%","23,38%","22,15%","23,29%","27,29%","30,52%",abev3
MARGEM EBITDA,"31,43%","31,43%","29,63%","30,69%","36,14%","47,14%",abev3
EV/EBITDA,"7,00","8,12","9,21","10,17","11,02","11,51",abev3
EV/EBIT,"9,41","10,91","12,32","13,41","14,60","17,77",abev3
P/EBITDA,"7,51","8,63","9,69","10,86","11,69","11,86",abev3
P/EBIT,"10,10","11,60","12,95","14,32","15,48","18,32",abev3
P/ATIVO,"1,42","1,63","1,66","1,75","1,97","2,89",abev3
P/CAP.GIRO,"-42,38","-48,70","-83,98","-1.015,27","132,22","112,69",abev3
P/ATIVO CIRC LIQ,"-1,96","-2,25","-2,28","-2,43","-2,74","-3,97",abev3
VPA,"5,01","5,01","5,20","5,25","4,69","3,89",abev3
LPA,"0,92","0,92","0,92","0,80","0,72","0,75",abev3
GIRO ATIVOS,"0,60","0,60","0,58","0,53","0,47","0,52",abev3
ROE,"18,36%","18,36%","17,64%","15,33%","15,42%","19,22%",abev3
ROIC,"22,52%","22,52%","19,83%","19,04%","18,02%","23,78%",abev3
ROA,"11,28%","11,28%","10,79%","9,47%","9,37%","11,98%",abev3
DÍVIDA LÍQUIDA / EBITDA,"-0,51","-0,51","-0,47","-0,69","-0,66","-0,36",abev3
DÍVIDA LÍQUIDA / EBIT,"-0,69","-0,69","-0,63","-0,91","-0,88","-0,55",abev3
DÍVIDA BRUTA / PATRIMÔNIO,"0,04","0,04","0,05","0,04","0,06","0,05",abev3
PATRIMÔNIO / ATIVOS,"0,60","0,60","0,59","0,60","0,59","0,60",abev3
PASSIVOS / ATIVOS,"0,40","0,40","0,40","0,39","0,40","0,39",abev3
LIQUIDEZ CORRENTE,"0,89","0,89","0,93","0,99","1,06","1,10",abev3
CAGR RECEITAS 5 ANOS,"8,68%","9,68%","10,72%","9,82%","4,56%","6,67%",abev3
CAGR LUCROS 5 ANOS,"4,19%","5,68%","13,84%","0,06%","-1,85%","-0,28%",abev3
P/L,"-0,21","-0,15","-9,43","-187,87","1.075,28",,seql3
P/RECEITA (PSR),"0,24","0,17","0,56","2,21","7,57",,seql3
P/VP,"1,49","1,07","2,02","5,58","18,38",,seql3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%",,seql3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,seql3
MARGEM LÍQUIDA,"-110,40%","-110,40%","-5,92%","-1,17%","0,70%",,seql3
MARGEM BRUTA,"-11,65%","-11,65%","17,38%","17,52%","21,58%",,seql3
MARGEM EBIT,"-94,43%","-94,43%","4,41%","3,16%","4,38%",,seql3
MARGEM EBITDA,"-74,15%","-74,15%","12,51%","12,04%","11,37%",,seql3
EV/EBITDA,"-1,56","-1,51","8,58","24,25","79,93",,seql3
EV/EBIT,"-1,23","-1,19","24,36","92,51","207,60",,seql3
P/EBITDA,"-0,32","-0,23","4,47","18,32","66,61",,seql3
P/EBIT,"-0,25","-0,18","12,67","69,89","173,02",,seql3
P/ATIVO,"0,11","0,08","0,51","1,69","5,49",,seql3
P/CAP.GIRO,"-0,38","-0,28","13,62","26,47","19,85",,seql3
P/ATIVO CIRC LIQ,"-0,14","-0,10","-0,72","-2,50","-11,33",,seql3
VPA,"0,30","0,35","1,50","1,81","1,24",,seql3
LPA,"-2,11","-2,48","-0,32","-0,05","0,02",,seql3
GIRO ATIVOS,"0,48","0,48","0,91","0,77","0,73",,seql3
ROE,"-699,37%","-699,37%","-21,45%","-2,97%","1,71%",,seql3
ROIC,"-99,53%","-99,53%","3,95%","3,02%","3,30%",,seql3
ROA,"-52,67%","-52,67%","-5,39%","-0,90%","0,51%",,seql3
DÍVIDA LÍQUIDA / EBITDA,"-1,24","-1,24","3,34","2,73","1,67",,seql3
DÍVIDA LÍQUIDA / EBIT,"-0,98","-0,98","9,47","10,40","4,35",,seql3
DÍVIDA BRUTA / PATRIMÔNIO,"6,10","6,10","1,77","1,11","1,46",,seql3
PATRIMÔNIO / ATIVOS,"0,08","0,08","0,25","0,30","0,30",,seql3
PASSIVOS / ATIVOS,"0,92","0,92","0,75","0,70","0,70",,seql3
LIQUIDEZ CORRENTE,"0,42","0,42","1,14","1,25","2,16",,seql3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,seql3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,seql3
P/L,"5,01","4,38","5,99","5,92","7,72","6,43",cmig4
P/RECEITA (PSR),"0,78","0,69","0,71","0,66","0,88","0,79",cmig4
P/VP,"1,17","1,03","1,13","1,14","1,27","1,27",cmig4
DIVIDEND YIELD (DY),"9,71%","11,24%","13,75%","8,97%","4,22%","5,26%",cmig4
PAYOUT,"34,66%","34,66%","70,27%","44,07%","27,79%","18,48%",cmig4
MARGEM LÍQUIDA,"15,64%","15,64%","11,88%","11,15%","11,35%","12,32%",cmig4
MARGEM BRUTA,"22,75%","22,75%","19,76%","19,98%","21,34%","22,81%",cmig4
MARGEM EBIT,"19,62%","19,62%","16,50%","20,66%","18,66%","12,64%",cmig4
MARGEM EBITDA,"23,08%","23,08%","19,93%","23,78%","22,58%","17,17%",cmig4
EV/EBITDA,"4,46","4,17","5,18","4,26","5,80","7,91",cmig4
EV/EBIT,"5,25","4,91","6,26","4,90","7,02","10,75",cmig4
P/EBITDA,"3,39","2,97","3,57","2,78","3,88","4,62",cmig4
P/EBIT,"3,99","3,50","4,31","3,19","4,70","6,27",cmig4
P/ATIVO,"0,52","0,46","0,46","0,43","0,41","0,40",cmig4
P/CAP.GIRO,"-23,58","-20,65","10,85","9,82","3,83","9,04",cmig4
P/ATIVO CIRC LIQ,"-0,67","-0,59","-0,61","-0,57","-0,57","-0,51",cmig4
VPA,"11,20","11,20","9,89","11,49","11,50","10,89",cmig4
LPA,"2,62","2,62","1,86","2,22","1,89","2,14",cmig4
GIRO ATIVOS,"0,67","0,67","0,64","0,65","0,47","0,51",cmig4
ROE,"23,39%","23,39%","18,79%","19,28%","16,39%","19,69%",cmig4
ROIC,"17,82%","17,82%","17,50%","19,49%","11,60%","5,36%",cmig4
ROA,"10,49%","10,49%","7,63%","7,21%","5,30%","6,27%",cmig4
DÍVIDA LÍQUIDA / EBITDA,"0,88","0,88","1,08","1,10","1,75","3,10",cmig4
DÍVIDA LÍQUIDA / EBIT,"1,04","1,04","1,30","1,27","2,12","4,21",cmig4
DÍVIDA BRUTA / PATRIMÔNIO,"0,40","0,40","0,49","0,58","0,86","0,93",cmig4
PATRIMÔNIO / ATIVOS,"0,45","0,45","0,41","0,37","0,32","0,32",cmig4
PASSIVOS / ATIVOS,"0,55","0,55","0,59","0,63","0,68","0,68",cmig4
LIQUIDEZ CORRENTE,"0,91","0,91","1,20","1,21","1,60","1,28",cmig4
CAGR RECEITAS 5 ANOS,"7,73%","10,60%","9,68%","12,38%","3,45%","5,38%",cmig4
CAGR LUCROS 5 ANOS,"13,01%","27,06%","32,53%","62,15%","3,02%","-0,06%",cmig4
P/L,"8,66","7,79","5,55","2,09","27,21","55,88",usim5
P/RECEITA (PSR),"0,47","0,42","0,28","0,56","1,14","0,80",usim5
P/VP,"0,54","0,49","0,39","0,87","1,23","0,85",usim5
DIVIDEND YIELD (DY),"3,18%","3,54%","8,79%","9,40%","0,30%","1,68%",usim5
PAYOUT,"20,14%","20,14%","46,30%","18,69%","7,68%","85,46%",usim5
MARGEM LÍQUIDA,"5,41%","5,41%","4,98%","26,89%","4,18%","1,43%",usim5
MARGEM BRUTA,"6,47%","6,47%","17,49%","33,42%","20,24%","12,54%",usim5
MARGEM EBIT,"2,89%","2,89%","6,43%","34,06%","18,20%","6,37%",usim5
MARGEM EBITDA,"6,73%","6,73%","10,99%","36,97%","24,42%","13,01%",usim5
EV/EBITDA,"7,28","7,04","3,36","1,41","4,92","7,89",usim5
EV/EBIT,"16,95","16,39","5,75","1,53","6,61","16,10",usim5
P/EBITDA,"6,95","6,25","2,51","1,52","4,66","6,13",usim5
P/EBIT,"16,19","14,56","4,30","1,65","6,25","12,51",usim5
P/ATIVO,"0,32","0,29","0,22","0,48","0,61","0,45",usim5
P/CAP.GIRO,"1,04","0,94","0,60","1,39","2,49","2,00",usim5
P/ATIVO CIRC LIQ,"-0,58","-0,52","-0,46","-0,98","-1,01","-0,68",usim5
VPA,"19,04","19,04","18,48","17,36","11,86","11,21",usim5
LPA,"1,19","1,19","1,29","7,24","0,54","0,17",usim5
GIRO ATIVOS,"0,69","0,69","0,81","0,85","0,54","0,57",usim5
ROE,"6,26%","6,26%","6,98%","41,70%","4,53%","1,52%",usim5
ROIC,"1,09%","1,09%","3,08%","32,85%","11,39%","4,63%",usim5
ROA,"4,08%","4,08%","5,23%","25,48%","4,31%","1,43%",usim5
DÍVIDA LÍQUIDA / EBITDA,"-0,05","-0,05","0,32","-0,06","0,28","1,64",usim5
DÍVIDA LÍQUIDA / EBIT,"-0,12","-0,12","0,54","-0,06","0,38","3,34",usim5
DÍVIDA BRUTA / PATRIMÔNIO,"0,25","0,25","0,27","0,29","0,40","0,36",usim5
PATRIMÔNIO / ATIVOS,"0,59","0,59","0,58","0,55","0,50","0,53",usim5
PASSIVOS / ATIVOS,"0,34","0,34","0,35","0,38","0,44","0,41",usim5
LIQUIDEZ CORRENTE,"3,25","3,25","3,78","3,16","2,64","3,07",usim5
CAGR RECEITAS 5 ANOS,"13,08%","15,01%","24,78%","31,89%","9,57%","4,95%",usim5
CAGR LUCROS 5 ANOS,"34,21%","14,63%","46,04%",-%,-%,"12,56%",usim5
P/L,"7,83","10,45","388,76","18,60",,,raiz4
P/RECEITA (PSR),"0,14","0,19","0,15","0,38",,,raiz4
P/VP,"1,39","1,86","1,77","3,03",,,raiz4
DIVIDEND YIELD (DY),"6,41%","6,61%","4,71%","0,27%",,,raiz4
PAYOUT,"50,21%","54,33%","2.004,46%","0,00%",,,raiz4
MARGEM LÍQUIDA,"1,80%","1,80%","0,04%","2,03%",,,raiz4
MARGEM BRUTA,"8,53%","8,53%","4,44%","6,50%",,,raiz4
MARGEM EBIT,"5,47%","5,47%","1,43%","3,83%",,,raiz4
MARGEM EBITDA,"12,33%","12,33%","7,77%","6,86%",,,raiz4
EV/EBITDA,"2,72","3,10","4,30","8,41",,,raiz4
EV/EBIT,"6,13","6,99","23,42","15,07",,,raiz4
P/EBITDA,"1,14","1,53","1,97","5,51",,,raiz4
P/EBIT,"2,58","3,44","10,76","9,88",,,raiz4
P/ATIVO,"0,25","0,33","0,36","0,59",,,raiz4
P/CAP.GIRO,"7,90","10,54","4,77","7,69",,,raiz4
P/ATIVO CIRC LIQ,"-0,48","-0,63","-0,67","-1,17",,,raiz4
VPA,"2,17","2,17","2,05","1,98",,,raiz4
LPA,"0,39","0,39","0,009312","0,32",,,raiz4
GIRO ATIVOS,"1,77","1,77","2,33","1,56",,,raiz4
ROE,"17,81%","17,81%","0,45%","16,32%",,,raiz4
ROIC,"13,79%","13,79%","4,14%","8,40%",,,raiz4
ROA,"3,31%","3,31%","0,15%","3,23%",,,raiz4
DÍVIDA LÍQUIDA / EBITDA,"1,57","1,57","2,32","2,90",,,raiz4
DÍVIDA LÍQUIDA / EBIT,"3,55","3,55","12,66","5,19",,,raiz4
DÍVIDA BRUTA / PATRIMÔNIO,"2,27","2,27","2,08","1,84",,,raiz4
PATRIMÔNIO / ATIVOS,"0,18","0,18","0,20","0,19",,,raiz4
PASSIVOS / ATIVOS,"0,82","0,82","0,79","0,80",,,raiz4
LIQUIDEZ CORRENTE,"1,07","1,07","1,19","1,18",,,raiz4
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,raiz4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,raiz4
P/L,"-5,28","-8,51","-19,28","-7,31","-4,59","-30,67",azul4
P/RECEITA (PSR),"0,68","1,09","0,87","3,09","8,65","6,44",azul4
P/VP,"-0,59","-0,95","-0,73","-1,68","-3,51","-20,94",azul4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",azul4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",azul4
MARGEM LÍQUIDA,"-12,83%","-12,83%","-4,53%","-42,23%","-188,63%","-21,00%",azul4
MARGEM BRUTA,"18,20%","18,20%","17,47%","18,56%","4,97%","0,66%",azul4
MARGEM EBIT,"8,95%","8,95%","8,96%","0,55%","-24,36%","-10,45%",azul4
MARGEM EBITDA,"21,91%","21,91%","13,37%","15,62%","7,08%","21,63%",azul4
EV/EBITDA,"6,47","10,63","17,42","33,79","132,82","29,79",azul4
EV/EBIT,"15,84","26,02","25,98","960,81","-38,59","-61,69",azul4
P/EBITDA,"3,09","4,98","6,53","19,78","122,25","29,77",azul4
P/EBIT,"7,57","12,19","9,74","562,30","-35,52","-61,66",azul4
P/ATIVO,"0,61","0,99","0,74","1,66","3,15","3,84",azul4
P/CAP.GIRO,"-1,30","-2,09","-1,37","-5,25","-10,36","-27,07",azul4
P/ATIVO CIRC LIQ,"-0,81","-1,31","-1,01","-2,43","-4,79","-4,89",azul4
VPA,"-16,86","-16,86","-15,03","-14,50","-11,19","-2,78",azul4
LPA,"-1,88","-1,88","-0,57","-3,33","-8,57","-1,90",azul4
GIRO ATIVOS,"0,90","0,90","0,85","0,54","0,36","0,60",azul4
ROE,"-11,16%","-11,16%","-3,80%","-22,98%","-76,57%","-68,29%",azul4
ROIC,"46,88%","45,76%","33,94%","0,83%","24,17%","38,13%",azul4
ROA,"-11,59%","-11,59%","-3,86%","-22,73%","-68,60%","-12,52%",azul4
DÍVIDA LÍQUIDA / EBITDA,"5,65","5,65","10,89","14,02","10,57","0,01",azul4
DÍVIDA LÍQUIDA / EBIT,"13,83","13,83","16,24","398,51","-3,07","-0,03",azul4
DÍVIDA BRUTA / PATRIMÔNIO,"-1,17","-1,17","-1,22","-1,36","-0,52","-0,01",azul4
PATRIMÔNIO / ATIVOS,"-1,04","-1,04","-1,02","-0,99","-0,90","-0,18",azul4
PASSIVOS / ATIVOS,"2,04","2,04","2,02","1,99","1,90","1,18",azul4
LIQUIDEZ CORRENTE,"0,34","0,34","0,32","0,50","0,53","0,60",azul4
CAGR RECEITAS 5 ANOS,"10,15%","15,24%","15,41%","8,38%",-%,-%,azul4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,azul4
P/L,"-0,09","-0,08","-0,06","-0,58","-1,38","-0,63",oibr3
P/RECEITA (PSR),"0,05","0,04","0,11","0,48","1,56","0,28",oibr3
P/VP,"-0,02","-0,02","-0,05","-6,64","1,87","0,32",oibr3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",oibr3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",oibr3
MARGEM LÍQUIDA,"-55,89%","-55,89%","-183,72%","-82,10%","-113,42%","-44,70%",oibr3
MARGEM BRUTA,"4,46%","4,46%","9,66%","5,33%","21,68%","23,94%",oibr3
MARGEM EBIT,"-18,58%","-18,58%","-174,19%","-19,43%","-19,51%","-14,79%",oibr3
MARGEM EBITDA,"-2,61%","-2,61%","-59,71%","28,88%","32,85%","27,09%",oibr3
EV/EBITDA,"-93,83","-93,67","-3,24","11,56","12,02","3,73",oibr3
EV/EBIT,"-13,17","-13,15","-1,11","-17,18","-20,24","-6,83",oibr3
P/EBITDA,"-1,82","-1,67","-0,18","1,66","4,76","1,04",oibr3
P/EBIT,"-0,26","-0,23","-0,06","-2,46","-8,02","-1,91",oibr3
P/ATIVO,"0,02","0,02","0,04","0,06","0,20","0,08",oibr3
P/CAP.GIRO,"-0,07","-0,06","-1,77","0,25","0,92","0,92",oibr3
P/ATIVO CIRC LIQ,"-0,03","-0,02","-0,06","-0,16","-0,36","-0,11",oibr3
VPA,"-41,37","-41,37","-3,30","-0,11","1,17","2,67",oibr3
LPA,"-8,22","-8,22","-2,92","-1,30","-1,59","-1,36",oibr3
GIRO ATIVOS,"0,37","0,37","0,35","0,13","0,13","0,28",oibr3
ROE,"-19,88%","-19,88%","-88,31%","-1.138,96%","-135,84%","-50,99%",oibr3
ROIC,"155,02%","155,02%","-4.851,27%","-12,64%","-15,73%","-8,65%",oibr3
ROA,"-20,78%","-20,78%","-65,04%","-10,95%","-14,26%","-12,63%",oibr3
DÍVIDA LÍQUIDA / EBITDA,"-91,94","-91,94","-3,05","9,87","7,23","2,68",oibr3
DÍVIDA LÍQUIDA / EBIT,"-12,91","-12,91","-1,05","-14,67","-12,17","-4,91",oibr3
DÍVIDA BRUTA / PATRIMÔNIO,"-0,93","-0,93","-1,02","-43,65","3,40","0,96",oibr3
PATRIMÔNIO / ATIVOS,"-1,05","-1,05","-0,74","-0,01","0,10","0,25",oibr3
PASSIVOS / ATIVOS,"2,04","2,04","1,74","1,01","0,89","0,75",oibr3
LIQUIDEZ CORRENTE,"0,54","0,54","0,94","1,76","1,88","1,52",oibr3
CAGR RECEITAS 5 ANOS,"-13,56%","-15,12%","-15,11%","-16,61%","-19,43%","-6,55%",oibr3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,oibr3
P/L,"4,47","4,08","1,94","3,75","52,95","10,40",petr3
P/RECEITA (PSR),"1,09","0,99","0,57","0,88","1,38","1,38",petr3
P/VP,"1,46","1,34","1,00","1,03","1,22","1,41",petr3
DIVIDEND YIELD (DY),"16,85%","18,47%","59,41%","18,40%","0,81%","0,63%",petr3
PAYOUT,"76,61%","80,25%","104,54%","69,13%","95,21%","0,27%",petr3
MARGEM LÍQUIDA,"24,34%","24,34%","29,37%","23,56%","2,61%","13,28%",petr3
MARGEM BRUTA,"52,72%","52,72%","52,10%","48,52%","45,56%","40,40%",petr3
MARGEM EBIT,"36,98%","36,98%","45,89%","46,58%","18,24%","27,19%",petr3
MARGEM EBITDA,"49,91%","49,91%","56,52%","60,50%","39,67%","47,95%",petr3
EV/EBITDA,"3,02","2,84","1,57","2,39","6,50","2,58",petr3
EV/EBIT,"4,08","3,84","1,94","3,10","14,14","4,55",petr3
P/EBITDA,"2,18","1,99","1,01","1,46","3,49","2,88",petr3
P/EBIT,"2,94","2,69","1,24","1,90","7,58","5,08",petr3
P/ATIVO,"0,53","0,48","0,37","0,41","0,38","0,45",petr3
P/CAP.GIRO,"-81,36","-74,24","-538,69","12,01","62,41","-103,17",petr3
P/ATIVO CIRC LIQ,"-0,62","-0,57","-0,45","-0,50","-0,45","-0,51",petr3
VPA,"29,16","29,16","27,93","29,69","23,64","22,66",petr3
LPA,"9,55","9,55","14,44","8,18","0,54","3,08",petr3
GIRO ATIVOS,"0,49","0,49","0,66","0,47","0,28","0,33",petr3
ROE,"32,75%","32,75%","51,68%","27,54%","2,30%","13,58%",petr3
ROIC,"20,05%","20,05%","32,28%","23,28%","6,19%","22,24%",petr3
ROA,"11,91%","11,91%","19,35%","11,02%","0,63%","4,42%",petr3
DÍVIDA LÍQUIDA / EBITDA,"0,89","0,89","0,62","0,97","3,04","-0,23",petr3
DÍVIDA LÍQUIDA / EBIT,"1,20","1,20","0,76","1,26","6,62","-0,40",petr3
DÍVIDA BRUTA / PATRIMÔNIO,"0,80","0,80","0,77","0,85","1,27","0,001188",petr3
PATRIMÔNIO / ATIVOS,"0,36","0,36","0,37","0,40","0,31","0,32",petr3
PASSIVOS / ATIVOS,"0,64","0,64","0,63","0,60","0,68","0,68",petr3
LIQUIDEZ CORRENTE,"0,96","0,96","1,00","1,25","1,04","0,97",petr3
CAGR RECEITAS 5 ANOS,"11,12%","7,91%","17,72%","9,88%","-3,29%","-2,17%",petr3
CAGR LUCROS 5 ANOS,"25,03%","36,21%","246,76%",-%,-%,-%,petr3
P/L,"-0,03",,"-0,67","52,41","-323,78","-178,27",amer3
P/RECEITA (PSR),"0,03",,"0,34","1,26","6,74","8,38",amer3
P/VP,"-0,02",,"-0,33","1,79","7,19","9,89",amer3
DIVIDEND YIELD (DY),-,,"6,43%","0,00%","0,00%","0,00%",amer3
PAYOUT,-,,"-4,34%","0,00%","0,00%","0,00%",amer3
MARGEM LÍQUIDA,"-99,25%",,"-50,03%","2,40%","-2,08%","-4,70%",amer3
MARGEM BRUTA,"11,58%",,"19,47%","29,79%","28,42%","29,72%",amer3
MARGEM EBIT,"-63,41%",,"-30,26%","3,33%","1,78%","1,53%",amer3
MARGEM EBITDA,"-57,57%",,"-24,05%","9,43%","8,57%","9,29%",amer3
EV/EBITDA,"-1,96",,"-4,09","19,08","87,57","90,12",amer3
EV/EBIT,"-1,78",,"-3,25","54,01","420,93","546,77",amer3
P/EBITDA,"-0,05",,"-1,40","13,32","78,62","90,21",amer3
P/EBIT,"-0,04",,"-1,12","37,69","377,94","547,30",amer3
P/ATIVO,"0,02",,"0,28","0,64","3,02","3,53",amer3
P/CAP.GIRO,"-0,01",,"-0,26","3,32","6,53","12,32",amer3
P/ATIVO CIRC LIQ,"-0,04",,"-0,61","-1,26","-10,00","-8,56",amer3
VPA,"-34,55",,"-29,55","17,63","10,51","6,35",amer3
LPA,"-18,92",,"-14,31","0,60","-0,23","-0,35",amer3
GIRO ATIVOS,"0,74",,"0,82","0,51","0,45","0,42",amer3
ROE,"-54,76%",,"-48,42%","3,42%","-2,22%","-5,55%",amer3
ROIC,"129,53%",,"202,73%","0,69%","0,82%","-0,34%",amer3
ROA,"-73,71%",,"-41,26%","1,22%","-0,93%","-1,98%",amer3
DÍVIDA LÍQUIDA / EBITDA,"-1,91",,"-2,69","5,77","8,94","-0,09",amer3
DÍVIDA LÍQUIDA / EBIT,"-1,73",,"-2,14","16,32","42,99","-0,53",amer3
